"","1 run","5 runs","10 runs","25 runs","50 runs","100 runs","250 runs","500 runs","1000 runs"
"0",1,1,1,1,1,1,1,1,1
"1",1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1
"7",1,2,1,2,1,1,1,2,2
"8",1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1
"11",1,2,1,2,1,1,1,2,2
"12",2,1,2,1,2,2,1,1,1
"13",1,2,1,2,1,1,1,2,2
"14",1,2,1,2,1,1,1,2,2
"15",1,2,1,2,1,1,1,2,2
"16",1,2,1,2,1,1,1,2,2
"17",1,2,1,2,1,1,1,2,2
"18",3,3,3,1,2,3,2,3,3
"19",4,4,4,3,3,4,3,4,4
"20",1,2,1,2,1,1,1,2,2
"21",1,2,1,2,1,1,1,2,2
"22",1,2,1,2,1,1,1,2,2
"23",1,2,1,2,1,1,1,2,2
"24",1,2,1,2,1,1,1,2,2
"25",1,2,1,2,1,1,1,2,2
"26",1,2,1,2,1,1,1,2,2
"27",1,2,1,2,1,1,1,2,2
"28",1,2,1,2,1,1,1,2,2
"29",1,2,1,2,1,1,1,2,2
"30",1,2,1,2,1,1,1,2,2
"31",1,2,1,2,1,1,1,2,2
"32",1,2,1,2,1,1,1,2,2
"33",1,2,1,2,1,1,1,2,2
"34",1,2,1,2,1,1,1,2,2
"35",1,2,1,2,1,1,1,2,2
"36",1,2,1,2,1,1,1,2,2
"37",1,2,1,2,1,1,1,2,2
"38",1,2,1,2,1,1,1,2,2
"39",1,2,1,2,1,1,1,2,2
"40",1,2,1,2,1,1,1,2,2
"41",1,2,1,2,1,1,1,2,2
"42",1,2,1,2,1,1,1,2,2
"43",1,2,1,2,1,1,1,2,2
"44",1,2,1,2,1,1,1,2,2
"45",1,2,1,2,1,1,1,2,2
"46",1,1,1,1,2,2,1,1,1
"47",1,2,1,2,1,1,1,2,2
"48",1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1
"50",1,1,1,1,2,2,1,1,1
"51",1,2,1,2,1,1,1,2,2
"52",1,2,1,2,1,1,1,2,2
"53",1,2,1,2,1,1,1,2,2
"54",1,2,1,2,1,1,1,2,2
"55",1,2,1,2,1,1,1,2,2
"56",3,5,3,3,4,3,4,5,3
"57",1,1,1,1,1,1,1,1,1
"58",1,1,1,1,2,2,1,1,1
"59",1,1,1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1,1,1
"61",1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1
"64",1,1,1,1,1,1,1,1,1
"65",1,1,1,1,1,1,1,1,1
"66",1,1,1,1,1,1,1,1,1
"67",1,1,1,1,1,1,1,1,1
"68",1,2,1,2,1,1,1,2,2
"69",1,1,1,1,1,1,1,1,1
"70",1,2,1,2,1,1,1,2,2
"71",1,2,1,2,1,1,1,2,2
"72",1,2,1,2,1,1,1,2,2
"73",1,2,1,2,1,1,1,2,2
